h	1.007970
he	4.002600
li	6.941000
be	9.012180
b	10.81000
c	12.01100
n	14.00670
o	15.99940
f	18.99840
ne	20.17900
na	22.98977
mg	24.30500
al	26.98154
si	28.08550
p	30.97376
s	32.06000
cl	35.45300
k	39.09830
ar	39.94800
ca	40.08000
sc	44.95590
ti	47.90000
v	50.94150
cr	51.99600
mn	54.93800
fe	55.84700
ni	58.70000
co	58.93320
cu	63.54600
zn	65.38000
ga	69.72000
ge	72.59000
as	74.92160
se	78.96000
br	79.90400
kr	83.80000
rb	85.46780
sr	87.62000
y	88.90590
zr	91.22000
nb	92.90640
mo	95.94000
tc	98.00000
ru	101.0700
rh	102.9055
pd	106.4000
ag	107.8680
cd	112.4100
in	114.8200
sn	118.6900
sb	121.7500
i	126.9045
te	127.6000
xe	131.3000
cs	132.9054
ba	137.3300
la	138.9055
ce	140.1200
pr	140.9077
nd	144.2400
pm	145.0000
sm	150.4000
eu	151.9600
gd	157.2500
tb	158.9254
dy	162.5000
ho	164.9304
er	167.2600
tm	168.9342
yb	173.0400
lu	174.9670
hf	178.4900
ta	180.9479
w	183.8500
re	186.2070
os	190.2000
ir	192.2200
pt	195.0900
au	196.9665
hg	200.5900
tl	204.3700
pb	207.2000
bi	208.9804
po	209.0000
at	210.0000
rn	222.0000
fr	223.0000
ra	226.0254
ac	227.0278
pa	231.0359
th	232.0381
np	237.0482
u	238.0290
pu	242.0000
am	243.0000
bk	247.0000
cm	247.0000
no	250.0000
cf	251.0000
es	252.0000
hs	255.0000
mt	256.0000
fm	257.0000
md	258.0000
lr	260.0000
rf	261.0000
bh	262.0000
db	262.0000
sg	263.0000
