h 	12.0
he	10.924
li	1.04
be	1.38
b 	2.70
c 	8.47
n 	7.85
o 	8.71
f 	4.40
ne	8.15
na	6.21
mg	7.56
al	6.43
si	7.51
p 	5.41
s 	7.15
cl	5.25
ar	6.50
k 	5.04
ca	6.32
sc	3.16
ti	4.93
v 	3.89
cr	5.62
mn	5.52
fe	7.48
co	4.93
ni	6.20
cu	4.18
zn	4.56
ga	3.02
ge	3.63
kr	3.25
rb	2.47
sr	2.83
y 	2.21
zr	2.59
nb	1.47
mo	1.88
ru	1.75
rh	0.89
pd	1.55
ag	0.96
cd	1.77
sn	2.02
xe	2.25
ba	2.25
la	1.11
ce 	1.58
pr	0.72
nd 	1.42
sm	0.95
eu	0.52
gd	1.08
tb	0.31
dy	1.1
ho	0.48
er	0.93
tm	0.11
yb	0.85
lu	0.1
hf	0.85
w	0.83
os	1.4
ir	1.42
au 	0.91
pb 	1.92
